;;;;;;;;;;;;
Arrecada� do IPVA por Regi�e Munic�o -  2017;;;;;;;;;;;;
Regi�/ Munic�o;Janeiro;Fevereiro;Mar�Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
TRES RIOS; 4.021.418,58 ; 2.425.492,58 ; 1.836.901,07 ; 1.074.056,46 ; 493.252,36 ; 429.142,62 ; 390.201,52 ; 428.675,60 ; 257.138,02 ; 213.416,82 ; 133.074,84 ; 182.368,64 
VASSOURAS; 1.769.352,81 ; 1.149.072,44 ; 899.314,62 ; 493.660,18 ; 208.939,47 ; 144.855,73 ; 139.917,65 ; 124.008,85 ; 89.717,40 ; 67.739,65 ; 64.581,37 ; 84.922,25 
LITORAL SUL FLUMINENSE; 12.870.121,26 ; 7.701.665,37 ; 6.036.158,58 ; 3.310.306,54 ; 1.798.988,37 ; 1.388.408,45 ; 1.183.971,02 ; 1.220.718,91 ; 917.281,10 ; 675.435,08 ; 503.817,57 ; 642.084,17 
ANGRA DOS REIS; 8.923.927,11 ; 5.426.598,31 ; 4.127.882,91 ; 2.343.714,74 ; 1.310.066,18 ; 1.002.500,96 ; 853.862,13 ; 847.235,07 ; 602.658,34 ; 450.563,07 ; 352.098,42 ; 455.249,43 
MANGARATIBA; 2.347.235,48 ; 1.364.628,56 ; 1.148.590,43 ; 601.395,56 ; 306.668,34 ; 224.260,79 ; 193.580,77 ; 207.469,24 ; 165.585,14 ; 95.497,38 ; 84.763,81 ; 98.228,42 
PARATI; 1.598.958,67 ; 910.438,50 ; 759.685,24 ; 365.196,24 ; 182.253,85 ; 161.646,70 ; 136.528,12 ; 166.014,60 ; 149.037,62 ; 129.374,63 ; 66.955,34 ; 88.606,32 
M�IO PARA�A; 57.547.837,57 ; 30.747.960,56 ; 21.368.715,88 ; 13.036.234,08 ; 7.309.647,91 ; 5.670.361,23 ; 4.462.037,62 ; 4.357.902,31 ; 3.122.128,10 ; 2.036.373,31 ; 1.726.583,11 ; 2.163.347,44 
BARRA DO PIRAI; 3.599.590,44 ; 2.114.452,48 ; 1.639.810,11 ; 999.923,04 ; 434.256,02 ; 400.984,86 ; 340.292,88 ; 266.693,18 ; 216.448,52 ; 133.047,85 ; 273.196,08 ; 162.888,47 
BARRA MANSA; 9.049.240,55 ; 5.342.952,78 ; 4.008.033,81 ; 2.394.317,71 ; 1.085.550,44 ; 854.040,78 ; 729.256,87 ; 1.015.555,86 ; 543.228,30 ; 381.466,99 ; 289.786,93 ; 416.106,12 
ITATIAIA; 1.780.863,76 ; 1.268.266,31 ; 385.843,43 ; 387.081,63 ; 419.180,04 ; 250.261,73 ; 106.836,68 ; 136.189,55 ; 94.589,27 ; 42.846,57 ; 35.341,94 ; 63.023,28 
