Regiao_Municipio,Janeiro,Fevereiro,Marco,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
GUAPIMIRIM,1523048.05,971056.52,814560.41,488736.44,250249.22,217344.87,177649.95,158122.27,97617.56,87762.43,74445.58
ITABORAI,6769187.78,4322280.72,3604630.9,2077918.68,1042226.5,891804.95,794032.79,674271.25,571028.21,449060.41,313403.08
ITAGUAI,4576496.83,2897863.49,2440251.17,1389427.45,755759.79,610647.07,482262.79,496208.11,365290.15,304059.93,210178.94
JAPERI,1299234.17,837508.18,644783.91,404755.35,222800.53,197308.41,186861.33,169210.95,140202.93,86261.3,64838.74
MAGE,6429653.51,4004841.87,3156300.74,1769607.66,1059238.27,867779.5,727046.54,698123.32,580057.62,453599.7,316261.21
MARICA,6851848.46,4328894.22,3741434.47,2321833.79,1146816.77,928894.16,925492.75,769810.6,595821.05,509688.68,379139.58
MESQUITA,5574555.74,3462236.91,2936237.11,1640700.72,802017.24,696347.17,617151.3,589518.28,431397.34,336450.82,187593.13
NILOPOLIS,5590676.96,3480954.44,2851677.62,1665692.13,861965.24,713197.02,631018.62,552389.5,429674.32,326033.91,250758.52
NITEROI,62520633.99,38198281.88,23153062.79,13791424.43,6798918.47,5694641.52,5033739.07,4588124.27,3491397.37,2725975.15,2061939.18
NOVA IGUACU,23951805.46,15769729.51,12200013.28,7156679.17,4292206.07,3666208.88,3395935.58,3110354.54,2260795.18,1597019.5,1086487.31
PARACAMBI,1784135.3,1026063.97,792460.03,445525.17,256601.58,185906.24,159097.12,162314.02,129707.6,80913.88,75137.44
QUEIMADOS,3202226.5,1996950.71,1666270.46,983164.76,556049.83,400673.96,402216.21,384316.45,271781.35,194995.83,152559.46
SAO GONCALO,31098151.82,20059520.37,16587603.47,9740376.39,4441255.21,3663243.71,3195324.75,3097340.5,2462352.04,1874135.32,1388871.25
SAO JOAO DE MERITI,12574257.56,8210636.05,7034489.38,4218261.36,1947038.49,1696659.62,1639140.4,1524743.76,990179.06,796575.3,568157.17
